Date,USDtoEUR
2020-06-24,0.8888501745257318
2020-06-25,0.8911972879084135
2020-06-26,0.8913807934180442
2020-06-27,0.8914205231747051
2020-06-28,0.8908987564835157
2020-06-29,0.8891394286212203
2020-06-30,0.8900978395545238
2020-07-01,0.8888098835659053
2020-07-02,0.8898800174772435
2020-07-03,0.8891038544430299
2020-07-04,0.8892841262783459
2020-07-05,0.8891402191908468
2020-07-06,0.8839747748958235
2020-07-07,0.8869305462427849
2020-07-08,0.8819866573058482
2020-07-09,0.8859247814423563
2020-07-10,0.8853474988933157
2020-07-11,0.8853474988933157
2020-07-12,0.8841951878561095
2020-07-13,0.8814144939799389
2020-07-14,0.8763950017440261
2020-07-15,0.8758753279058259
2020-07-16,0.8778991522127887
2020-07-17,0.8750475807122012
2020-07-18,0.874928912025898
